X,Words,Point_Mean,Frequency,Point_STD,Price_Mean,Price_STD
1,10%,88.88135593,59,2.626684981,36.88135593,27.09630637
2,100%,89.19767442,86,3.074830526,57.61627907,48.75368308
3,12%,88.88235294,17,2.642970699,35.23529412,22.34258661
4,13%,88.81818182,11,2.136266922,39.72727273,30.03694695
5,15%,89.46875,32,2.723664218,40.0625,29.00938391
6,2%,89.46153846,13,3.430631249,41.61538462,31.7635495
7,20%,88.73913043,46,2.661952355,36.32608696,19.36096227
8,2003,88.81818182,11,2.136266922,45,23.59237165
9,2005,88.0625,16,2.080664958,45.9375,45.25847066
10,2007,90.30769231,13,3.682947538,73.61538462,59.06992814
11,2008,90.2,15,3.569713874,56.26666667,58.56921018
12,2009,90.28571429,21,3.689754154,53.42857143,59.48156977
13,2010,89.48275862,29,3.169279883,56.31034483,39.09704359
14,2011,88.66666667,15,3.132015934,43.06666667,22.18901487
15,2012,90.17391304,23,2.83888861,52.39130435,41.05178451
16,2013,90.72727273,11,2.533413077,41.36363636,31.41742423
17,2014,90.76470588,17,2.704843151,49,22.89650628
18,2015,89.61363636,44,3.036337367,37.36363636,33.92953773
19,2016,88.11666667,60,2.940607954,34.48333333,42.0804281
20,2017,88.96052632,76,2.317704551,35.93421053,23.37995468
21,2018,89.93693694,111,2.187897618,38.98198198,28.29165697
22,2019,90.22222222,63,2.136053373,43.28571429,38.70960061
23,2020,91.23943662,71,1.938075546,48.78873239,28.7759401
24,2021,90.66666667,18,2.326319992,44.27777778,24.76193843
25,2022,91.575,40,1.767041566,68.05,67.83121965
26,2023,92.4375,16,1.71148084,78.4375,32.75559749
27,2024,93.6,20,2.521486612,118.55,138.1713181
28,2025,92.08333333,12,1.240112409,55.83333333,33.7957322
29,25%,88.94117647,17,2.74933147,31.82352941,13.69413786
30,2äóñ3,88.72222222,18,1.708303443,28.55555556,15.13166614
31,3%,89.6875,16,2.960152023,59.9375,58.61566201
32,30%,88.4375,32,2.340905532,36.46875,23.97980922
33,40%,88.14705882,34,2.675731029,32.94117647,19.7022398
34,5%,89.63157895,38,2.476058907,43.63157895,23.63280022
35,50%,87.76923077,26,2.303175066,28.57692308,15.82446985
36,6%,91.15384615,13,3.531905856,50.07692308,34.97251668
37,60%,88.96666667,30,3.145695837,36.83333333,30.95278199
38,70%,89.22222222,18,2.798225395,36.66666667,24.04407717
39,80%,88.58333333,12,2.843120352,44.25,34.08578749
40,85%,88.58333333,12,2.937479852,31,18.06050437
41,90%,88.27272727,11,3.101319367,31.54545455,20.76229099
42,A,88.36149733,935,3.047063722,36.4631016,72.30620171
43,Acidity,87.9,20,3.076224617,30.25,16.01602816
44,After,89.72727273,11,5.197901675,55.45454545,43.90299224
45,Age,89.08333333,12,2.020725942,27.5,12.19910578
46,Aged,88.16666667,18,2.526331914,31.88888889,15.90371355
47,Albarií±o,86.72727273,11,2.686667419,20.63636364,7.018158267
48,All,89.66666667,24,2.513730411,40.66666667,17.06169538
49,Already,90,11,2.236067977,41.45454545,13.16330989
50,Although,89.5,22,2.923631141,40.63636364,22.32134459
51,Amarone,88.35,20,1.348488433,45.45,23.56061611
52,American,87.84210526,19,2.115108558,29,9.983319421
53,An,88.83,100,3.123889702,32.57,27.17777427
54,And,88.63636364,11,4.674884539,49.45454545,100.3387897
55,Apple,85.82352941,17,1.629236559,17.52941176,9.43476051
